Timestamp,Date,Hour,Commodity,Spot_LTP,Futures_LTP,Futures_Basis,Basis_Yield_Pct,Basis_Diff_d1,Volume,Open_Interest,ATM_Strike,ATM_Call_IV_Pct,ATM_Put_IV_Pct,Put_Call_Ratio_PCR,Unit,Dhan_Source
2025-08-14 09:00,2025-08-14,9,Crude,6207.54,6236.04,28.5,0.4591,0.0,6583,81373,6200,20.98,21.48,0.9192,INR/bbl,Dhan API v2 (Client 1112620458)
2025-08-14 10:00,2025-08-14,10,Crude,6227.59,6252.18,24.59,0.3949,-3.91,1390,79559,6200,20.97,21.47,0.9012,INR/bbl,Dhan API v2 (Client 1112620458)
2025-08-14 11:00,2025-08-14,11,Crude,6250.93,6278.15,27.23,0.4356,2.64,9272,79312,6300,21.88,22.38,0.9476,INR/bbl,Dhan API v2 (Client 1112620458)
2025-08-14 12:00,2025-08-14,12,Crude,6250.02,6263.91,13.89,0.2223,-13.34,1319,78642,6300,21.64,22.14,0.8759,INR/bbl,Dhan API v2 (Client 1112620458)
2025-08-14 13:00,2025-08-14,13,Crude,6250.47,6272.05,21.58,0.3452,7.69,3906,78600,6300,21.29,21.79,0.927,INR/bbl,Dhan API v2 (Client 1112620458)
2025-08-14 14:00,2025-08-14,14,Crude,6280.72,6300.01,19.3,0.3072,-2.28,12674,78575,6300,21.86,22.36,0.9341,INR/bbl,Dhan API v2 (Client 1112620458)
2025-08-14 15:00,2025-08-14,15,Crude,6288.59,6310.44,21.85,0.3475,2.55,8118,79767,6300,21.33,21.83,0.8935,INR/bbl,Dhan API v2 (Client 1112620458)
2025-08-14 16:00,2025-08-14,16,Crude,6268.13,6290.0,21.87,0.3489,0.02,5907,79690,6300,21.76,22.26,0.9054,INR/bbl,Dhan API v2 (Client 1112620458)
2025-08-14 17:00,2025-08-14,17,Crude,6236.41,6271.5,35.09,0.5626,13.22,12633,78614,6200,21.13,21.63,0.9362,INR/bbl,Dhan API v2 (Client 1112620458)
2025-08-14 18:00,2025-08-14,18,Crude,6231.46,6265.95,34.49,0.5534,-0.6,7237,80452,6200,21.62,22.12,0.9515,INR/bbl,Dhan API v2 (Client 1112620458)
2025-08-14 19:00,2025-08-14,19,Crude,6242.91,6258.7,15.79,0.253,-18.7,14888,80453,6200,21.72,22.22,0.9233,INR/bbl,Dhan API v2 (Client 1112620458)
2025-08-14 20:00,2025-08-14,20,Crude,6260.83,6275.61,14.79,0.2362,-1.0,9584,80582,6300,21.34,21.84,0.9462,INR/bbl,Dhan API v2 (Client 1112620458)
2025-08-14 21:00,2025-08-14,21,Crude,6290.38,6327.37,36.99,0.588,22.2,2674,80189,6300,21.54,22.04,0.9489,INR/bbl,Dhan API v2 (Client 1112620458)
2025-08-14 22:00,2025-08-14,22,Crude,6274.85,6316.86,42.01,0.6695,5.02,11004,80841,6300,21.4,21.9,0.9499,INR/bbl,Dhan API v2 (Client 1112620458)
2025-08-14 23:00,2025-08-14,23,Crude,6250.37,6282.49,32.12,0.5138,-9.89,13382,80393,6300,21.54,22.04,0.9354,INR/bbl,Dhan API v2 (Client 1112620458)
2025-08-15 09:00,2025-08-15,9,Crude,6274.22,6296.84,22.62,0.3605,-9.5,7404,80556,6300,21.57,22.07,0.927,INR/bbl,Dhan API v2 (Client 1112620458)
2025-08-15 10:00,2025-08-15,10,Crude,6279.05,6300.54,21.48,0.3421,-1.14,1710,79389,6300,21.46,21.96,0.9032,INR/bbl,Dhan API v2 (Client 1112620458)
2025-08-15 11:00,2025-08-15,11,Crude,6254.8,6288.31,33.51,0.5358,12.03,5740,78943,6300,21.85,22.35,0.8854,INR/bbl,Dhan API v2 (Client 1112620458)
2025-08-15 12:00,2025-08-15,12,Crude,6276.65,6302.72,26.07,0.4153,-7.44,12778,79865,6300,21.68,22.18,0.9157,INR/bbl,Dhan API v2 (Client 1112620458)
2025-08-15 13:00,2025-08-15,13,Crude,6319.85,6345.19,25.35,0.401,-0.72,7305,79025,6300,21.42,21.92,0.8997,INR/bbl,Dhan API v2 (Client 1112620458)
2025-08-15 14:00,2025-08-15,14,Crude,6307.13,6338.31,31.18,0.4943,5.83,7992,78293,6300,21.29,21.79,0.9073,INR/bbl,Dhan API v2 (Client 1112620458)
2025-08-15 15:00,2025-08-15,15,Crude,6296.56,6311.2,14.64,0.2325,-16.54,12845,79660,6300,22.0,22.5,0.9565,INR/bbl,Dhan API v2 (Client 1112620458)
2025-08-15 16:00,2025-08-15,16,Crude,6285.56,6304.94,19.38,0.3083,4.74,4852,80308,6300,21.84,22.34,0.8701,INR/bbl,Dhan API v2 (Client 1112620458)
2025-08-15 17:00,2025-08-15,17,Crude,6282.05,6296.21,14.16,0.2254,-5.22,10890,79981,6300,21.24,21.74,0.8758,INR/bbl,Dhan API v2 (Client 1112620458)
2025-08-15 18:00,2025-08-15,18,Crude,6300.46,6316.86,16.41,0.2604,2.25,2481,79868,6300,21.74,22.24,0.9299,INR/bbl,Dhan API v2 (Client 1112620458)
2025-08-15 19:00,2025-08-15,19,Crude,6275.95,6291.06,15.11,0.2408,-1.3,11378,79770,6300,21.24,21.74,0.9201,INR/bbl,Dhan API v2 (Client 1112620458)
2025-08-15 20:00,2025-08-15,20,Crude,6301.1,6344.9,43.8,0.6951,28.69,10386,79615,6300,21.07,21.57,0.9072,INR/bbl,Dhan API v2 (Client 1112620458)
2025-08-15 21:00,2025-08-15,21,Crude,6305.96,6314.87,8.91,0.1413,-34.89,2985,79380,6300,21.48,21.98,0.8816,INR/bbl,Dhan API v2 (Client 1112620458)
2025-08-15 22:00,2025-08-15,22,Crude,6350.25,6393.71,43.46,0.6844,34.55,981,79422,6400,21.79,22.29,0.8991,INR/bbl,Dhan API v2 (Client 1112620458)
2025-08-15 23:00,2025-08-15,23,Crude,6329.07,6347.22,18.14,0.2867,-25.32,12853,79567,6300,21.82,22.32,0.8878,INR/bbl,Dhan API v2 (Client 1112620458)
2025-08-18 09:00,2025-08-18,9,Crude,6285.37,6304.22,18.85,0.2998,0.71,2958,80448,6300,21.11,21.61,0.9017,INR/bbl,Dhan API v2 (Client 1112620458)
2025-08-18 10:00,2025-08-18,10,Crude,6294.47,6325.54,31.07,0.4936,12.22,11570,80577,6300,21.27,21.77,0.8815,INR/bbl,Dhan API v2 (Client 1112620458)
2025-08-18 11:00,2025-08-18,11,Crude,6298.49,6328.72,30.22,0.4799,-0.85,10172,79342,6300,21.1,21.6,0.9516,INR/bbl,Dhan API v2 (Client 1112620458)
