Timestamp,Date,Hour,Gold_Spot_LTP,Gold_Futures_LTP,Futures_Basis,Basis_Yield_Pct,ATM_Strike,ATM_Call_IV_Pct,ATM_Put_IV_Pct,Total_Call_OI,Total_Put_OI,Put_Call_Ratio_PCR,Dhan_Source,Basis_Diff_d1,Spot_Return_Log,Futures_Return_Log
2025-08-11 09:00,2025-08-11,9,62072.63,62431.51,358.87,0.5782,62000,13.29,13.69,45043,38518,0.8551,Dhan API v2 (Client 1112620458),0.0,0.0,0.0
2025-08-11 10:00,2025-08-11,10,62055.56,62354.82,299.26,0.4822,62000,12.91,13.31,43855,38399,0.8756,Dhan API v2 (Client 1112620458),-59.610000000000014,-0.0002750382504999038,-0.0012291411992837453
2025-08-11 11:00,2025-08-11,11,62149.62,62418.85,269.23,0.4332,62000,13.4,13.8,43244,39806,0.9205,Dhan API v2 (Client 1112620458),-30.029999999999973,0.0015145909048417394,0.0010263384193258673
2025-08-11 12:00,2025-08-11,12,62368.01,62711.94,343.92,0.5514,62500,12.4,12.8,45682,40946,0.8963,Dhan API v2 (Client 1112620458),74.69,0.0035077799654867903,0.004684547040543663
2025-08-11 13:00,2025-08-11,13,62337.24,62716.59,379.35,0.6085,62500,13.14,13.54,43465,38885,0.8946,Dhan API v2 (Client 1112620458),35.43000000000001,-0.000493483644424586,7.414581039988377e-05
2025-08-11 14:00,2025-08-11,14,62306.49,62602.23,295.74,0.4747,62500,13.18,13.58,45325,39962,0.8817,Dhan API v2 (Client 1112620458),-83.61000000000001,-0.000493406296872223,-0.001825105466911836
2025-08-11 15:00,2025-08-11,15,62533.44,62800.96,267.52,0.4278,62500,13.68,14.08,44036,39813,0.9041,Dhan API v2 (Client 1112620458),-28.220000000000027,0.0036358599370132083,0.0031694595067541798
2025-08-11 16:00,2025-08-11,16,62645.3,62976.74,331.44,0.5291,62500,13.24,13.64,43742,39772,0.9092,Dhan API v2 (Client 1112620458),63.920000000000016,0.0017872049163365489,0.002795091887364265
2025-08-11 17:00,2025-08-11,17,62580.85,62912.15,331.3,0.5294,62500,13.36,13.76,45810,38552,0.8416,Dhan API v2 (Client 1112620458),-0.13999999999998636,-0.0010293378130796782,-0.0010261430642160008
2025-08-11 18:00,2025-08-11,18,62660.71,63021.04,360.33,0.5751,62500,13.02,13.42,43817,41563,0.9486,Dhan API v2 (Client 1112620458),29.029999999999973,0.001275295689762146,0.0017293300858511884
2025-08-11 19:00,2025-08-11,19,62597.1,62975.15,378.05,0.6039,62500,12.88,13.28,42260,39597,0.937,Dhan API v2 (Client 1112620458),17.720000000000027,-0.001015665298126578,-0.0007284347571019367
2025-08-11 20:00,2025-08-11,20,62533.24,62865.54,332.3,0.5314,62500,12.73,13.13,44423,37927,0.8538,Dhan API v2 (Client 1112620458),-45.75,-0.001020695788794157,-0.0017420442898021804
2025-08-11 21:00,2025-08-11,21,62570.19,62988.86,418.67,0.6691,62500,12.38,12.78,44232,39021,0.8822,Dhan API v2 (Client 1112620458),86.37,0.0005907112390826086,0.001959725515639832
2025-08-11 22:00,2025-08-11,22,62300.66,62644.48,343.82,0.5519,62500,12.95,13.35,45179,40319,0.8924,Dhan API v2 (Client 1112620458),-74.85000000000002,-0.00431694696689533,-0.005482316438467194
2025-08-11 23:00,2025-08-11,23,62058.9,62375.74,316.85,0.5106,62000,13.24,13.64,45842,39235,0.8559,Dhan API v2 (Client 1112620458),-26.96999999999997,-0.003888085557095522,-0.004299151192022066
2025-08-12 09:00,2025-08-12,9,61981.95,62230.36,248.41,0.4008,62000,12.96,13.36,43957,38752,0.8816,Dhan API v2 (Client 1112620458),-68.44000000000003,-0.0012407204541293737,-0.002333434173207749
2025-08-12 10:00,2025-08-12,10,61841.62,62150.0,308.38,0.4987,62000,13.05,13.45,44568,40242,0.9029,Dhan API v2 (Client 1112620458),59.97,-0.002266613054027644,-0.001292165598835382
2025-08-12 11:00,2025-08-12,11,61888.35,62193.65,305.3,0.4933,62000,12.79,13.19,44844,37579,0.838,Dhan API v2 (Client 1112620458),-3.079999999999984,0.0007553546197716088,0.0007020865447167068
2025-08-12 12:00,2025-08-12,12,61762.97,62125.98,363.01,0.5877,62000,12.87,13.27,44459,40369,0.908,Dhan API v2 (Client 1112620458),57.70999999999998,-0.002027961253791233,-0.0010886455611753831
2025-08-12 13:00,2025-08-12,13,61567.11,61906.7,339.59,0.5516,61500,13.02,13.42,44987,39742,0.8834,Dhan API v2 (Client 1112620458),-23.420000000000016,-0.0031761945610746523,-0.0035358460118253277
2025-08-12 14:00,2025-08-12,14,61775.38,62042.17,266.79,0.4319,62000,12.87,13.27,44890,38728,0.8627,Dhan API v2 (Client 1112620458),-72.79999999999995,0.0033771038340528747,0.0021859022021182284
2025-08-12 15:00,2025-08-12,15,61746.09,62073.54,327.46,0.5303,61500,12.7,13.1,46190,39588,0.8571,Dhan API v2 (Client 1112620458),60.66999999999996,-0.00047424954623664917,0.0005054960515149531
2025-08-12 16:00,2025-08-12,16,61758.04,62108.02,349.99,0.5667,62000,12.34,12.74,43759,41157,0.9405,Dhan API v2 (Client 1112620458),22.53000000000003,0.0001935157963917078,0.0005553159565092614
2025-08-12 17:00,2025-08-12,17,61560.45,61947.95,387.51,0.6295,61500,13.11,13.51,44422,38390,0.8642,Dhan API v2 (Client 1112620458),37.51999999999998,-0.003204550576153764,-0.0025806108135366657
2025-08-12 18:00,2025-08-12,18,61486.62,61844.92,358.3,0.5827,61500,13.29,13.69,44688,40065,0.8965,Dhan API v2 (Client 1112620458),-29.20999999999998,-0.0012000287184417147,-0.0016645550553775479
2025-08-12 19:00,2025-08-12,19,61504.6,61857.29,352.69,0.5734,61500,12.93,13.33,43102,37725,0.8752,Dhan API v2 (Client 1112620458),-5.610000000000014,0.00029237859626185525,0.00019999642756829417
2025-08-12 20:00,2025-08-12,20,61346.05,61666.39,320.34,0.5222,61500,12.67,13.07,45330,40809,0.9003,Dhan API v2 (Client 1112620458),-32.35000000000002,-0.0025811843572416393,-0.003090907783569463
2025-08-12 21:00,2025-08-12,21,61400.99,61736.39,335.39,0.5462,61500,12.97,13.37,44001,40163,0.9128,Dhan API v2 (Client 1112620458),15.050000000000011,0.0008951743955503133,0.0011344964434023552
2025-08-12 22:00,2025-08-12,22,61319.51,61693.23,373.72,0.6095,61500,12.51,12.91,44793,38899,0.8684,Dhan API v2 (Client 1112620458),38.33000000000004,-0.0013278956975053546,-0.0006993459391519963
2025-08-12 23:00,2025-08-12,23,61281.23,61538.55,257.32,0.4199,61500,12.62,13.02,44649,39140,0.8766,Dhan API v2 (Client 1112620458),-116.40000000000003,-0.0006244660716383521,-0.0025103927125567083
2025-08-13 09:00,2025-08-13,9,61199.75,61489.95,290.2,0.4742,61000,12.82,13.22,44698,39608,0.8861,Dhan API v2 (Client 1112620458),32.879999999999995,-0.001330492489850954,-0.0007900608806572507
2025-08-13 10:00,2025-08-13,10,61460.87,61733.33,272.46,0.4433,61500,13.08,13.48,45215,39433,0.8721,Dhan API v2 (Client 1112620458),-17.74000000000001,0.004257607607858205,0.003950232723587632
2025-08-13 11:00,2025-08-13,11,61461.42,61785.72,324.29,0.5276,61500,12.54,12.94,44404,40402,0.9099,Dhan API v2 (Client 1112620458),51.83000000000004,8.948743143832871e-06,0.0008482902538773374
2025-08-13 12:00,2025-08-13,12,61316.01,61677.87,361.86,0.5902,61500,13.15,13.55,43531,39852,0.9155,Dhan API v2 (Client 1112620458),37.56999999999999,-0.0023686775002023097,-0.0017470742173006926
2025-08-13 13:00,2025-08-13,13,61433.4,61713.63,280.23,0.4561,61500,12.16,12.56,44606,40543,0.9089,Dhan API v2 (Client 1112620458),-81.63,0.0019126778008580203,0.0005796185474871152
2025-08-13 14:00,2025-08-13,14,61265.29,61463.98,198.69,0.3243,61500,13.1,13.5,44832,40191,0.8965,Dhan API v2 (Client 1112620458),-81.54000000000002,-0.002740210269422505,-0.0040535019607972345
2025-08-13 15:00,2025-08-13,15,61296.87,61584.73,287.86,0.4696,61500,12.97,13.37,45247,37534,0.8295,Dhan API v2 (Client 1112620458),89.17000000000002,0.0005153303547995591,0.001962638027821484
2025-08-13 16:00,2025-08-13,16,61026.38,61372.54,346.16,0.5672,61000,12.91,13.31,44199,39797,0.9004,Dhan API v2 (Client 1112620458),58.30000000000001,-0.00442255157339666,-0.0034514463543704466
2025-08-13 17:00,2025-08-13,17,60844.5,61172.84,328.34,0.5396,61000,13.25,13.65,42501,39817,0.9368,Dhan API v2 (Client 1112620458),-17.82000000000005,-0.002984800553360145,-0.003259203680702427
2025-08-13 18:00,2025-08-13,18,60874.2,61197.77,323.56,0.5315,61000,12.71,13.11,44987,40637,0.9033,Dhan API v2 (Client 1112620458),-4.779999999999973,0.00048801047972801825,0.00040745078160320247
2025-08-13 19:00,2025-08-13,19,60979.08,61271.3,292.22,0.4792,61000,13.22,13.62,44271,37594,0.8492,Dhan API v2 (Client 1112620458),-31.339999999999975,0.0017214148999347145,0.001200793128180777
2025-08-13 20:00,2025-08-13,20,61005.3,61252.69,247.39,0.4055,61000,13.25,13.65,43904,40247,0.9167,Dhan API v2 (Client 1112620458),-44.83000000000004,0.00042989111235058886,-0.00030377724628749547
2025-08-13 21:00,2025-08-13,21,60991.66,61319.73,328.07,0.5379,61000,13.06,13.46,41922,40311,0.9616,Dhan API v2 (Client 1112620458),80.68,-0.00022361213028254667,0.0010938840350043222
2025-08-13 22:00,2025-08-13,22,60952.28,61219.42,267.14,0.4383,61000,13.19,13.59,45836,41088,0.8964,Dhan API v2 (Client 1112620458),-60.93000000000001,-0.0006458705757577121,-0.0016371914185118186
